ts_key;title;country;category
besurv0850;Belgium, Business Surveys, Bank of Belgium, Building Industry, Selling Price Next 3 Months, Carcases of Buildings (Synthetic Curve), SA;be;Business Surveys
besurv0602;Belgium, Business Surveys, Bank of Belgium, Manufacturing Industry, Overall Order-Books, Synthetic Curve, SA;be;Business Surveys
besurv0836;Belgium, Business Surveys, Bank of Belgium, Manufacturing Industry, Export Order-Books, Synthetic Curve, SA;be;Business Surveys
besurv0832;Belgium, Business Surveys, Bank of Belgium, Manufacturing Industry, Trend in Domestic Orders, Synthetic Curve, SA;be;Business Surveys
besurv0834;Belgium, Business Surveys, Bank of Belgium, Manufacturing Industry, Trend in Export Orders, Synthetic Curve, SA;be;Business Surveys
besurv0830;Belgium, Business Surveys, Bank of Belgium, Manufacturing Industry, Production Rate Trend, Synthetic Curve, SA;be;Business Surveys
besurv0838;Belgium, Business Surveys, Bank of Belgium, Manufacturing Industry, Trend in Selling Prices, Synthetic Curve, SA;be;Business Surveys
besurv0608;Belgium, Business Surveys, Bank of Belgium, Manufacturing Industry, Demand Next 3 Months, Synthetic Curve, SA;be;Business Surveys
besurv0606;Belgium, Business Surveys, Bank of Belgium, Manufacturing Industry, Employment  Next 3 Months, Synthetic Curve, SA;be;Business Surveys
besurv0840;Belgium, Business Surveys, Bank of Belgium, Manufacturing Industry, Selling Price Next 3 Months, Synthetic Curve, SA;be;Business Surveys
besurv0604;Belgium, Business Surveys, Bank of Belgium, Manufacturing Industry, Stock of Finished Products, Synthetic Curve, SA;be;Business Surveys
besurv0865;Belgium, Business Surveys, Bank of Belgium, Business-Related Services, Sectoral Curves, Appraisal of Activity Development, SA;be;Business Surveys
besurv0854;Belgium, Business Surveys, Bank of Belgium, Business-Related Services, Trend in Employment, Synthetic Curve, SA;be;Business Surveys
besurv0852;Belgium, Business Surveys, Bank of Belgium, Business-Related Services, Movement of Activity, Synthetic Curve, SA;be;Business Surveys
besurv0858;Belgium, Business Surveys, Bank of Belgium, Business-Related Services, Trend in Selling Prices, Synthetic Curve, SA;be;Business Surveys
besurv0869;Belgium, Business Surveys, Bank of Belgium, Business-Related Services, Sectoral Curves, General Market Demand, SA;be;Business Surveys
besurv0856;Belgium, Business Surveys, Bank of Belgium, Business-Related Services, Employment  Next 3 Months, Synthetic Curve, SA;be;Business Surveys
besurv0867;Belgium, Business Surveys, Bank of Belgium, Business-Related Services, Sectoral Curves, Expected Activity for the Company, SA;be;Business Surveys
besurv0860;Belgium, Business Surveys, Bank of Belgium, Business-Related Services, Selling Price Next 3 Months, Synthetic Curve, SA;be;Business Surveys
besurv0525;Belgium, Business Surveys, Bank of Belgium, Total, Business-Related Services, SA;be;Business Surveys
besurv0873;Belgium, Business Surveys, Bank of Belgium, Trade, Sectoral Curves, Appraisal of Sales, SA;be;Business Surveys
besurv0875;Belgium, Business Surveys, Bank of Belgium, Trade, Sectoral Curves, Appraisal of Stocks, SA;be;Business Surveys
besurv0871;Belgium, Business Surveys, Bank of Belgium, Trade, Sectoral Curves, Sales Trend, SA;be;Business Surveys
besurv0877;Belgium, Business Surveys, Bank of Belgium, Trade, Sectoral Curves, Movement of Selling Prices, SA;be;Business Surveys
besurv0895;Belgium, Business Surveys, Bank of Belgium, Trade, Demand Next 3 Months, Total, SA;be;Business Surveys
besurv0879;Belgium, Business Surveys, Bank of Belgium, Trade, Sectoral Curves, Selling Prices Expectations, SA;be;Business Surveys
prodfscai15beco;Belgium, Eurostat, Production in Construction, Volume Index of Production, Construction (F), 2015=100, Calendar Adjusted, SA, Index;be;Construction
besurv0005;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Consumer Confidence Indicator, SA;be;Consumer Surveys
besurv0006;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Appraisal Economic Situation in Belgium (Last 12 Months), SA;be;Consumer Surveys
besurv0013;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Trend in Financial Situation of Households (Last 12 Months), SA;be;Consumer Surveys
besurv0008;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Trend in Consumer Prices in Belgium (Last 12 Months), SA;be;Consumer Surveys
besurv0011;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Appraisal of Actual Moment Whether or Not It Is Favorable to Make Major Purchases, SA;be;Consumer Surveys
besurv0014;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Appraisal of Actual Financial Situation of Households, SA;be;Consumer Surveys
besurv0001;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Forecasts Economic Situation in Belgium (Next 12 Months), SA;be;Consumer Surveys
besurv0003;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Forecasts Financial Situation of Households (Next 12 Months), SA;be;Consumer Surveys
besurv0009;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Forecasts Consumer Prices in Belgium (Next 12 Months), SA;be;Consumer Surveys
besurv0012;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Forecasts for Major Purchase of Households (Next 12 Months), SA;be;Consumer Surveys
besurv0004;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Forecasts of Savings of Households (Next 12 Months), SA;be;Consumer Surveys
besurv0002;Belgium, Consumer Surveys, Bank of Belgium, Consumer Confidence Indicator, Forecasts Unemployment in Belgium (Next 12 Months), SA;be;Consumer Surveys
beeqin0002;Belgium, Equity Indices, Euronext Brussels, All Share Index, Price Return, Close, EUR;be;Financial Variables
bebank0079;Belgium, Balance Sheet & Flows of MFI Sector, MFIs, Assets, By Type, Lending & Deposits, Loans, Belgium, Total, EUR;be;Financial Variables
bebank0080;Belgium, Balance Sheet & Flows of MFI Sector, MFIs, Assets, By Type, Lending & Deposits, Loans, Belgium, MFIs, EUR;be;Financial Variables
bebank0081;Belgium, Balance Sheet & Flows of MFI Sector, MFIs, Assets, By Type, Lending & Deposits, Loans, Belgium, Institutional Units Other than MFIs, EUR;be;Financial Variables
bebank0101;Belgium, Balance Sheet & Flows of MFI Sector, MFIs, Assets, By Type, Remaining, Total, EUR;be;Financial Variables
bebank0102;Belgium, Balance Sheet & Flows of MFI Sector, MFIs, Assets, Total, Total, EUR;be;Financial Variables
bebank0099;Belgium, Balance Sheet & Flows of MFI Sector, MFIs, Assets, By Type, Shares & Other Equity, Issued by Residents, EUR;be;Financial Variables
bebank0084;Belgium, Balance Sheet & Flows of MFI Sector, MFIs, Assets, By Type, Securities, Other than Shares Issued by Residents, Total, EUR;be;Financial Variables
beeqin0001;Belgium, Equity Indices, Euronext Brussels, BEL 20 Index, Price Return, Close, EUR;be;Financial Variables
bebank0126;Belgium, Balance Sheet & Flows of MFI Sector, MFIs, Liabilities, By Type, Capital & Reserves, Total, EUR;be;Financial Variables
bebank0105;Belgium, Balance Sheet & Flows of MFI Sector, MFIs, Liabilities, By Type, Lending & Deposits, Deposits, Belgium, Total, EUR;be;Financial Variables
bebank0108;Belgium, Balance Sheet & Flows of MFI Sector, MFIs, Liabilities, By Type, Lending & Deposits, Deposits, Belgium, Euro, Institutional Units Other than MFIs, EUR;be;Financial Variables
bebank0117;Belgium, Balance Sheet & Flows of MFI Sector, MFIs, Liabilities, By Type, Securities, Debt Securities Issued, Total, EUR;be;Financial Variables
